exercise_id,exercise_name,body_part,equipment,difficulty
162,Crunches,Core,Bodyweight,Beginner
163,Battle Ropes,Full Body,Other,Intermediate
164,Sled Push,Full Body,Other,Intermediate
165,Clean and Jerk,Full Body,Barbell,Advanced
166,Snatch,Full Body,Barbell,Advanced
167,Turkish Get-Up,Full Body,Kettlebell,Advanced
168,Single-Leg Deadlift,Legs,Dumbbell,Intermediate
169,Pallof Press,Core,Cable,Intermediate
170,Barbell Row,Back,Barbell,Intermediate
171,Incline Barbell Press,Chest,Barbell,Intermediate
172,Dumbbell Shrugs,Shoulders,Dumbbell,Beginner
173,Barbell Shrugs,Shoulders,Barbell,Beginner
174,Machine Chest Press,Chest,Machine,Beginner
175,Machine Shoulder Press,Shoulders,Machine,Beginner
176,Hack Squat,Legs,Machine,Intermediate
177,Lying Leg Raise,Core,Bodyweight,Beginner
178,Flutter Kicks,Core,Bodyweight,Beginner
179,Walking Lunge,Legs,Dumbbell,Beginner
180,Dumbbell Fly,Chest,Dumbbell,Beginner
181,Dumbbell Front Raise,Shoulders,Dumbbell,Beginner
182,Barbell Curl,Arms,Barbell,Beginner
183,Close Grip Bench Press,Arms,Barbell,Intermediate
184,Step-Up,Legs,Dumbbell,Beginner
185,Jump Squat,Legs,Bodyweight,Intermediate
186,Superman,Back,Bodyweight,Beginner
187,Wood Chop,Core,Cable,Intermediate
188,Dumbbell Pullover,Chest,Dumbbell,Intermediate
189,Reverse Pec Deck,Shoulders,Machine,Beginner
190,Spider Curl,Arms,Dumbbell,Intermediate
191,Machine Tricep Dip,Arms,Machine,Beginner
192,Kneeling Cable Crunch,Core,Cable,Intermediate
193,Seated Calf Raise,Legs,Machine,Beginner
194,Standing Calf Raise,Legs,Machine,Beginner
195,Landmine Press,Shoulders,Barbell,Intermediate
196,Handstand Push Up,Shoulders,Bodyweight,Advanced
197,Muscle Up,Full Body,Bodyweight,Advanced
198,One-Arm Dumbbell Row,Back,Dumbbell,Beginner
199,Kettlebell Goblet Squat,Legs,Kettlebell,Beginner
200,Kettlebell Halo,Shoulders,Kettlebell,Beginner
201,Side Bend,Core,Dumbbell,Beginner
202,Windshield Wipers,Core,Bodyweight,Advanced
203,Toes to Bar,Core,Bodyweight,Advanced
204,Yates Row,Back,Barbell,Intermediate
205,Pendlay Row,Back,Barbell,Intermediate
206,Dumbbell Floor Press,Chest,Dumbbell,Beginner
207,V-Up,Core,Bodyweight,Intermediate
208,Bradford Press,Shoulders,Barbell,Intermediate
209,Cable Lateral Raise,Shoulders,Cable,Beginner
210,Cable Reverse Fly,Shoulders,Cable,Beginner
